question,model_answer,student_answer,human_score
"Explain photosynthesis.","Photosynthesis is the process by which green plants use sunlight to synthesize food from carbon dioxide and water. It involves chlorophyll and releases oxygen as a by-product.","Plants use sunlight, water, and carbon dioxide to make food and release oxygen into the air.",9
"Explain photosynthesis.","Photosynthesis is the process by which green plants use sunlight to synthesize food from carbon dioxide and water. It involves chlorophyll and releases oxygen as a by-product.","Photosynthesis happens when plants take sunlight and turn it into energy using leaves and chlorophyll.",8
"Explain photosynthesis.","Photosynthesis is the process by which green plants use sunlight to synthesize food from carbon dioxide and water. It involves chlorophyll and releases oxygen as a by-product.","Plants grow because of soil and water, they don't need sunlight for food production.",2
"Define Artificial Intelligence.","Artificial Intelligence is the simulation of human intelligence in machines that are programmed to think, reason, and learn like humans.","Artificial Intelligence means machines that can think, solve problems, and learn like people.",9
"Define Artificial Intelligence.","Artificial Intelligence is the simulation of human intelligence in machines that are programmed to think, reason, and learn like humans.","AI is robots and computers that can act like humans and learn new things.",8
"Define Artificial Intelligence.","Artificial Intelligence is the simulation of human intelligence in machines that are programmed to think, reason, and learn like humans.","It is when machines are programmed to work automatically without any thinking process.",4
"Explain water cycle.","The water cycle is the continuous process by which water moves through the Earth’s systems: evaporation, condensation, precipitation, and collection.","The water cycle includes evaporation, condensation, rain, and collection of water.",9
"Explain water cycle.","The water cycle is the continuous process by which water moves through the Earth’s systems: evaporation, condensation, precipitation, and collection.","Water moves from rivers to clouds and falls back as rain.",7
"Explain water cycle.","The water cycle is the continuous process by which water moves through the Earth’s systems: evaporation, condensation, precipitation, and collection.","Water just flows in rivers and seas without changing form.",2
"Describe global warming.","Global warming is the long-term rise in Earth’s average temperature due to human activities like burning fossil fuels, deforestation, and industrial emissions, leading to climate change.","Global warming is caused by pollution and deforestation, making the planet hotter.",8
"Describe global warming.","Global warming is the long-term rise in Earth’s average temperature due to human activities like burning fossil fuels, deforestation, and industrial emissions, leading to climate change.","It is when the earth becomes hotter naturally over time.",4
"Describe global warming.","Global warming is the long-term rise in Earth’s average temperature due to human activities like burning fossil fuels, deforestation, and industrial emissions, leading to climate change.","Global warming is because of cars, factories, and trees being cut down. It changes climate and melts ice caps.",9
"Explain Newton's First Law.","Newton's First Law states that an object remains at rest or in uniform motion in a straight line unless acted upon by an external force.","If nothing pushes or pulls, an object stays still or moves straight at the same speed.",9
"Explain Newton's First Law.","Newton's First Law states that an object remains at rest or in uniform motion in a straight line unless acted upon by an external force.","Objects only move when force is applied, otherwise they stop moving.",5
"Explain Newton's First Law.","Newton's First Law states that an object remains at rest or in uniform motion in a straight line unless acted upon by an external force.","It says things will keep moving forever without slowing down.",7
"Define Blockchain.","Blockchain is a decentralized, distributed ledger technology that records transactions across multiple computers securely and transparently without a central authority.","Blockchain is a system where transactions are stored in a chain of blocks and can't be changed.",9
"Define Blockchain.","Blockchain is a decentralized, distributed ledger technology that records transactions across multiple computers securely and transparently without a central authority.","It is like a database but controlled by one company for security.",4
"Define Blockchain.","Blockchain is a decentralized, distributed ledger technology that records transactions across multiple computers securely and transparently without a central authority.","Blockchain stores information in blocks that are connected and verified by many computers.",8
"Explain Cloud Computing.","Cloud computing is the delivery of computing services such as servers, storage, databases, networking, software, and more over the internet to offer faster innovation, flexible resources, and economies of scale.","Cloud computing is using the internet to access storage, apps, and servers instead of local computers.",9
"Explain Cloud Computing.","Cloud computing is the delivery of computing services such as servers, storage, databases, networking, software, and more over the internet to offer faster innovation, flexible resources, and economies of scale.","It means storing files online.",5
"Explain Cloud Computing.","Cloud computing is the delivery of computing services such as servers, storage, databases, networking, software, and more over the internet to offer faster innovation, flexible resources, and economies of scale.","Cloud computing is when you use online servers and services without owning them physically.",8
"Describe renewable energy.","Renewable energy is energy from sources that are naturally replenished, such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from sunlight, wind, and water, which never run out.",9
"Describe renewable energy.","Renewable energy is energy from sources that are naturally replenished, such as solar, wind, hydro, geothermal, and biomass.","Energy made from coal and oil that can be used again is renewable energy.",3
"Describe renewable energy.","Renewable energy is energy from sources that are naturally replenished, such as solar, wind, hydro, geothermal, and biomass.","Sources like wind turbines, solar panels, and rivers provide renewable energy.",8
"Explain Big Data.","Big Data refers to extremely large datasets that are complex and cannot be handled by traditional data-processing software, requiring advanced analytics and technologies for storage, processing, and analysis.","Big Data is huge amounts of information processed using special tools and technologies.",9
"Explain Big Data.","Big Data refers to extremely large datasets that are complex and cannot be handled by traditional data-processing software, requiring advanced analytics and technologies for storage, processing, and analysis.","It is when you have more than 1GB of data to store.",3
"Explain Big Data.","Big Data refers to extremely large datasets that are complex and cannot be handled by traditional data-processing software, requiring advanced analytics and technologies for storage, processing, and analysis.","Big Data is massive datasets that need advanced methods for analysis.",8
"Explain Machine Learning.","Machine Learning is a subset of AI that allows systems to learn from data and improve performance without being explicitly programmed.","Machine learning means computers learn from past data to make better decisions in the future.",9
"Explain Machine Learning.","Machine Learning is a subset of AI that allows systems to learn from data and improve performance without being explicitly programmed.","It is when a computer memorizes data and repeats it exactly.",4
"Explain Machine Learning.","Machine Learning is a subset of AI that allows systems to learn from data and improve performance without being explicitly programmed.","It is a method for computers to adapt and improve automatically using data.",8
"Explain Internet of Things (IoT).","IoT refers to the interconnection of everyday physical devices to the internet, enabling them to send and receive data.","IoT connects devices like smart fridges and watches to share data through the internet.",9
